000861 海印股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2003	3.38	3.40	3.34	3.35	69200	537610.000
10/14/2003	3.33	3.38	3.32	3.33	39400	304019.000
10/15/2003	3.27	3.34	3.27	3.31	66500	511008.406
10/16/2003	3.34	3.34	3.29	3.30	47180	361670.094
10/17/2003	3.28	3.28	3.24	3.24	30321	228544.500
10/20/2003	3.35	3.35	3.24	3.28	34900	265226.500
10/21/2003	3.25	3.34	3.25	3.28	22250	169135.000
10/22/2003	3.29	3.31	3.28	3.29	47700	363328.000
10/23/2003	3.28	3.31	3.28	3.29	21700	164904.000
10/24/2003	3.29	3.31	3.28	3.28	42100	320406.000
10/27/2003	3.27	3.27	3.17	3.18	43000	322502.000
10/28/2003	3.18	3.21	3.18	3.19	22451	166083.078
10/29/2003	3.23	3.25	3.01	3.15	71750	525249.000
10/30/2003	3.14	3.19	3.09	3.10	33295	240758.000
10/31/2003	3.09	3.22	3.09	3.22	59648	434651.469
11/03/2003	3.22	3.23	3.20	3.21	9000	66942.000
11/04/2003	3.18	3.22	3.15	3.15	61569	455031.406
11/05/2003	3.12	3.23	3.11	3.14	30773	223602.766
11/06/2003	3.10	3.10	2.80	2.81	213503	1445477.250
11/07/2003	2.84	2.84	2.67	2.72	109934	700694.875
11/10/2003	2.70	2.75	2.59	2.74	71494	446332.688
11/11/2003	2.63	2.73	2.63	2.68	24850	157494.000
11/12/2003	2.39	2.86	2.39	2.68	44403	271151.969
11/13/2003	2.64	2.68	2.58	2.64	17703	110128.453
11/14/2003	2.64	2.64	2.59	2.59	16351	99968.078
11/17/2003	2.59	2.63	2.59	2.60	45750	280530.500
11/18/2003	2.60	2.65	2.59	2.60	27559	169577.078
11/19/2003	2.60	2.68	2.60	2.63	63440	392625.313
11/20/2003	2.66	2.81	2.64	2.79	145105	935064.500
11/21/2003	2.81	2.98	2.81	2.86	284048	1941241.875
11/24/2003	2.75	2.90	2.71	2.87	84351	561341.563
11/25/2003	2.87	2.92	2.85	2.89	102715	690177.250
11/26/2003	2.89	2.95	2.84	2.91	80012	540075.625
11/27/2003	2.86	2.91	2.82	2.86	70450	471659.000
11/28/2003	2.78	2.91	2.78	2.83	32440	216368.000
12/01/2003	2.82	2.89	2.82	2.86	119665	797327.000
12/02/2003	3.03	3.03	2.85	2.85	95602	639410.313
12/03/2003	2.85	2.85	2.79	2.80	105100	691437.500
12/04/2003	2.80	2.80	2.73	2.74	146060	941094.563
12/05/2003	2.78	2.91	2.78	2.88	163815	1091493.625
12/08/2003	2.87	2.88	2.78	2.80	59100	391440.000
12/09/2003	2.78	2.84	2.78	2.82	34650	227713.500
12/10/2003	2.82	2.89	2.78	2.86	52879	351684.875
12/11/2003	2.89	2.91	2.82	2.88	102538	687989.313
12/12/2003	2.87	2.87	2.80	2.84	42440	281639.000
12/15/2003	2.85	3.11	2.85	3.02	350570	2443830.750
12/16/2003	3.01	3.01	2.82	2.94	127500	865363.500
12/17/2003	2.87	2.98	2.87	2.92	77972	534836.750
12/18/2003	2.92	3.00	2.87	2.92	74010	502745.844
12/19/2003	2.92	2.95	2.65	2.91	152300	1017283.063
12/22/2003	2.92	2.92	2.72	2.91	883514	5719690.500
12/23/2003	2.89	3.05	2.78	3.04	1133047	7877406.500
12/24/2003	3.03	3.32	3.03	3.26	1522408	11296730.000
12/25/2003	3.28	3.35	3.17	3.32	821069	6275145.500
12/26/2003	3.35	3.41	3.26	3.32	704000	5427936.000
12/29/2003	3.32	3.32	3.15	3.27	515146	3877045.750
12/30/2003	3.28	3.35	3.22	3.33	367598	2816533.500
12/31/2003	3.30	3.36	3.24	3.28	1025500	7880433.000
01/02/2004	3.24	3.24	3.03	3.09	322300	2342934.500
01/05/2004	3.09	3.09	2.97	2.98	342000	2403930.500
01/06/2004	2.98	3.13	2.96	2.99	439971	3072537.000
01/07/2004	3.00	3.01	2.73	2.93	313835	2111217.750
01/08/2004	2.91	2.96	2.80	2.87	312150	2096747.500
01/09/2004	2.87	2.91	2.84	2.87	262660	1769141.375
01/12/2004	2.83	2.96	2.82	2.89	257400	1730758.625
01/13/2004	2.90	2.91	2.83	2.84	324616	2165544.750
01/14/2004	2.84	2.90	2.83	2.90	220500	1472533.000
01/15/2004	2.90	2.90	2.83	2.87	214950	1434513.500
01/16/2004	2.87	2.89	2.86	2.86	188595	1264797.125
01/29/2004	2.91	3.00	2.90	3.00	210866	1448517.125
01/30/2004	2.99	3.03	2.94	2.95	227650	1587400.000
02/02/2004	2.98	3.05	2.92	3.04	389044	2699586.500
02/03/2004	3.11	3.25	3.00	3.18	463803	3332954.500
02/04/2004	3.17	3.21	3.12	3.19	412261	3025045.250
02/05/2004	3.34	3.46	3.20	3.45	1147467	8915829.000
02/06/2004	3.52	3.53	3.10	3.29	1278419	10058692.000
02/09/2004	3.51	3.65	3.51	3.65	2296379	19177558.000
02/10/2004	3.64	3.64	3.48	3.53	1699743	13809555.000
02/11/2004	3.51	3.54	3.47	3.51	502994	4047991.250
02/13/2004	3.50	3.50	3.35	3.37	493894	3869053.750
02/16/2004	3.28	3.41	3.28	3.41	341462	2658516.750
02/17/2004	3.38	3.47	3.32	3.43	479518	3781750.250
02/18/2004	3.45	3.51	3.39	3.43	359800	2857529.000
02/19/2004	3.43	3.48	3.38	3.39	271005	2134653.250
02/20/2004	3.41	3.56	3.38	3.54	632551	5078158.500
02/23/2004	3.55	3.55	3.40	3.42	346357	2780530.250
02/24/2004	3.40	3.42	3.31	3.41	392991	3054575.750
02/25/2004	3.41	3.53	3.34	3.36	196562	1553675.125
02/26/2004	3.33	3.41	3.24	3.27	263144	1999193.875
02/27/2004	3.31	3.32	3.24	3.29	136860	1039877.500
03/01/2004	3.33	3.37	3.24	3.35	190431	1459147.250
03/02/2004	3.39	3.40	3.25	3.38	214521	1649516.375
03/03/2004	3.32	3.40	3.26	3.32	228800	1753709.250
03/04/2004	3.33	3.37	3.24	3.32	212986	1621220.625
03/05/2004	3.32	3.33	3.25	3.28	167709	1269985.500
03/08/2004	3.28	3.31	3.13	3.14	198700	1471672.000
03/09/2004	3.11	3.20	3.04	3.04	419732	3000438.250
03/10/2004	3.03	3.08	3.01	3.08	379328	2687719.000
03/11/2004	3.08	3.11	3.03	3.09	363058	2587618.500
03/12/2004	3.09	3.14	3.08	3.10	184424	1327078.625
03/15/2004	3.12	3.17	3.09	3.15	302433	2195960.000
03/16/2004	3.14	3.19	3.11	3.19	209825	1536389.750
03/17/2004	3.16	3.16	3.10	3.15	319703	2319447.750
03/18/2004	3.14	3.29	3.14	3.19	399982	2976711.750
03/19/2004	3.15	3.23	3.08	3.22	273400	2019165.875
03/22/2004	3.20	3.28	3.20	3.27	173872	1310611.000
03/23/2004	3.25	3.28	3.20	3.23	133621	996684.813
03/24/2004	3.20	3.27	3.20	3.24	108601	810654.438
03/25/2004	3.22	3.26	3.16	3.21	124099	918991.313
03/26/2004	3.14	3.26	3.14	3.19	168500	1238273.875
03/29/2004	3.18	3.24	3.17	3.23	274563	2037124.625
03/30/2004	3.25	3.26	3.15	3.16	371750	2737674.500
03/31/2004	3.18	3.23	3.16	3.20	249700	1849884.375
04/01/2004	3.22	3.45	3.20	3.38	1510476	11664586.000
04/02/2004	3.41	3.41	3.31	3.34	695782	5383040.500
04/05/2004	3.33	3.42	3.32	3.39	475181	3689228.250
04/06/2004	3.46	3.46	3.33	3.43	520102	4073856.250
04/07/2004	3.42	3.45	3.33	3.39	519290	4036001.000
04/08/2004	3.39	3.45	3.34	3.41	1300330	10176832.000
04/09/2004	3.39	3.40	3.33	3.36	581882	4508692.000
04/12/2004	3.36	3.37	3.25	3.26	517800	3941267.000
04/13/2004	3.33	3.35	3.24	3.34	2095000	15974654.000
04/14/2004	3.32	3.32	3.16	3.16	749500	5590162.000
04/15/2004	3.16	3.19	3.01	3.04	683000	4892603.000
04/16/2004	3.03	3.09	2.97	3.05	243800	1712292.875
04/19/2004	3.08	3.08	3.03	3.03	204300	1448634.750
04/20/2004	3.02	3.09	3.02	3.08	316700	2255973.500
04/21/2004	3.08	3.12	3.01	3.08	462900	3294448.000
04/22/2004	3.09	3.16	3.05	3.10	487300	3517400.250
04/23/2004	3.08	3.11	3.01	3.11	464800	3304935.250
04/26/2004	3.10	3.14	3.04	3.12	165600	1188522.875
04/27/2004	3.15	3.16	3.03	3.05	200500	1426975.125
04/28/2004	3.02	3.06	2.91	3.05	391700	2729179.000
04/29/2004	3.04	3.05	2.95	2.99	94300	656548.000
04/30/2004	2.99	3.01	2.95	2.99	79100	547699.688
05/10/2004	2.99	2.99	2.82	2.87	91300	612594.375
05/11/2004	2.84	2.90	2.84	2.85	41700	278512.000
05/12/2004	2.85	2.92	2.85	2.90	95000	643139.000
05/14/2004	2.90	2.90	2.78	2.80	104900	697509.625
05/17/2004	2.80	2.84	2.75	2.79	77400	506460.969
05/18/2004	2.80	2.87	2.79	2.83	187100	1239057.000
05/19/2004	2.83	2.90	2.82	2.84	86200	577969.688
05/20/2004	2.84	2.90	2.78	2.80	76200	506852.313
05/21/2004	2.80	2.86	2.78	2.85	45000	296833.500
05/24/2004	2.85	2.89	2.79	2.85	53000	351993.844
05/25/2004	2.85	2.85	2.78	2.78	56700	371711.500
05/26/2004	2.78	2.79	2.72	2.72	79500	511626.000
05/27/2004	2.75	2.80	2.68	2.78	119300	768807.875
