163402 兴全趋势 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/02/2007	0.790	0.790	0.750	0.770	57776447	60698948.000
07/03/2007	0.778	0.794	0.773	0.787	30085211	31970282.000
07/04/2007	0.790	0.790	0.770	0.770	21421340	22624802.000
07/05/2007	0.760	0.760	0.735	0.737	45597157	46789340.000
07/06/2007	0.728	0.770	0.720	0.770	42198626	43344984.000
07/09/2007	0.775	0.779	0.765	0.771	40575297	42592052.000
07/10/2007	0.769	0.769	0.750	0.751	25074902	25967288.000
07/11/2007	0.752	0.759	0.745	0.753	15375126	15863267.000
07/12/2007	0.755	0.758	0.748	0.750	17708742	18244748.000
07/13/2007	0.750	0.753	0.742	0.747	14966852	15353229.000
07/16/2007	0.750	0.750	0.736	0.738	14668168	14969163.000
07/17/2007	0.734	0.742	0.731	0.741	15954397	16253292.000
07/18/2007	0.740	0.750	0.739	0.747	15405932	15817352.000
07/19/2007	0.749	0.751	0.744	0.745	9933188	10205246.000
07/20/2007	0.742	0.764	0.742	0.761	38711040	40048892.000
07/23/2007	0.761	0.790	0.761	0.785	52257232	55375404.000
07/24/2007	0.791	0.791	0.775	0.776	46697979	49681068.000
07/25/2007	0.776	0.784	0.776	0.780	39705706	42043204.000
07/26/2007	0.785	0.788	0.781	0.786	50592667	53862908.000
07/27/2007	0.786	0.786	0.779	0.784	43073025	45784272.000
07/30/2007	0.785	0.786	0.779	0.785	83008024	88237680.000
07/31/2007	0.784	0.785	0.778	0.785	65919838	69997968.000
08/01/2007	0.786	0.850	0.786	0.798	118476096	129487984.000
08/02/2007	0.793	0.815	0.791	0.809	50350614	54691228.000
08/03/2007	0.809	0.818	0.799	0.817	98809964	107518416.000
08/06/2007	0.820	0.869	0.820	0.868	111558129	125936320.000
08/07/2007	0.872	0.930	0.857	0.921	181676929	214859360.000
08/08/2007	0.910	0.929	0.878	0.910	131969059	156788608.000
08/09/2007	0.877	0.905	0.870	0.889	178672901	208572400.000
08/10/2007	0.885	0.885	0.850	0.868	151380840	173387472.000
08/13/2007	0.868	0.874	0.861	0.868	79477488	91314136.000
08/14/2007	0.867	0.880	0.858	0.878	58291905	67058192.000
08/15/2007	0.877	0.878	0.860	0.869	66777063	76798560.000
08/16/2007	0.869	0.869	0.856	0.861	64229485	73241936.000
08/17/2007	0.858	0.869	0.848	0.848	73837842	83688488.000
08/20/2007	0.853	0.875	0.853	0.873	65174241	74847168.000
08/21/2007	0.880	0.883	0.874	0.880	64567025	74786864.000
08/22/2007	0.872	0.888	0.865	0.883	79592750	92452968.000
08/23/2007	0.886	0.893	0.880	0.893	89997884	105061560.000
08/24/2007	0.896	0.918	0.896	0.915	89961861	107117816.000
08/27/2007	0.923	0.934	0.911	0.920	96218690	115997720.000
08/28/2007	0.919	0.919	0.895	0.916	72276297	86010304.000
08/29/2007	0.909	0.915	0.899	0.901	69866875	82762032.000
08/30/2007	0.904	0.920	0.901	0.920	74366895	88552544.000
08/31/2007	0.921	0.932	0.916	0.931	69357027	83639008.000
09/03/2007	0.939	0.960	0.939	0.960	66597074	82179320.000
09/04/2007	0.962	0.969	0.951	0.955	53593298	66421780.000
09/05/2007	0.955	0.961	0.936	0.960	54421992	67064832.000
09/06/2007	0.959	0.971	0.955	0.971	60503751	75360448.000
09/07/2007	0.969	0.969	0.955	0.957	50889724	63142284.000
09/10/2007	0.940	0.964	0.925	0.963	47237290	57805596.000
09/11/2007	0.960	0.964	0.915	0.916	53457728	65503844.000
09/12/2007	0.914	0.935	0.901	0.922	50991597	60797940.000
09/13/2007	0.925	0.944	0.920	0.943	48238208	58444028.000
09/14/2007	0.945	0.960	0.939	0.959	55061701	67583024.000
09/17/2007	0.958	0.983	0.952	0.982	66515675	83297552.000
09/18/2007	0.990	0.990	0.972	0.984	39961268	50355412.000
09/19/2007	0.983	0.983	0.965	0.977	31849164	40001368.000
09/20/2007	0.975	0.985	0.971	0.982	32945201	41517576.000
09/21/2007	0.981	0.982	0.968	0.982	32139890	40308536.000
09/24/2007	0.979	0.983	0.969	0.979	39653204	49881056.000
